# confusable-homoglyphs 3.3.1
39D	N
1D6B4	N
1D6EE	N
1D728	N
1D762	N
1D79C	N
2C9A	N
A4E0	N
10513	N
C02	o
C82	o
D02	o
D82	o
966	o
A66	o
AE6	o
BE6	o
C66	o
CE6	o
D66	o
E50	o
ED0	o
1040	o
6F5	o
FF4F	o
2134	o
1D428	o
1D45C	o
1D490	o
1D4F8	o
1D52C	o
1D560	o
1D594	o
1D5C8	o
1D5FC	o
1D630	o
1D664	o
1D698	o
1D0F	o
1D11	o
AB3D	o
3BF	o
1D6D0	o
1D70A	o
1D744	o
1D77E	o
1D7B8	o
3C3	o
1D6D4	o
1D70E	o
1D748	o
1D782	o
1D7BC	o
2C9F	o
43E	o
10FF	o
585	o
D20	o
101D	o
104EA	o
118C8	o
118D7	o
1042C	o
9E6	O
B66	O
3007	O
114D0	O
118E0	O
1D7CE	O
1D7D8	O
1D7E2	O
1D7EC	O
1D7F6	O
1FBF0	O
FF2F	O
1D40E	O
1D442	O
1D476	O
1D4AA	O
1D4DE	O
1D512	O
1D546	O
1D57A	O
1D5AE	O
1D5E2	O
1D616	O
1D64A	O
1D67E	O
39F	O
1D6B6	O
1D6F0	O
1D72A	O
1D764	O
1D79E	O
2C9E	O
41E	O
555	O
2D54	O
12D0	O
B20	O
104C2	O
A4F3	O
118B5	O
10292	O
102AB	O
10404	O
10516	O
2374	p
FF50	p
1D429	p
1D45D	p
1D491	p
1D4C5	p
1D4F9	p
1D52D	p
1D561	p
1D595	p
1D5C9	p
1D5FD	p
1D631	p
1D665	p
1D699	p
3C1	p
3F1	p
1D6D2	p
1D6E0	p
1D70C	p
1D71A	p
1D746	p
1D754	p
1D780	p
1D78E	p
1D7BA	p
1D7C8	p
2CA3	p
440	p
FF30	P
2119	P
1D40F	P
1D443	P
1D477	P
1D4AB	P
1D4DF	P
1D513	P
1D57B	P
1D5AF	P
1D5E3	P
1D617	P
1D64B	P
1D67F	P
3A1	P
1D6B8	P
1D6F2	P
1D72C	P
1D766	P
1D7A0	P
2CA2	P
420	P
13E2	P
146D	P
A4D1	P
10295	P
1D42A	q
1D45E	q
1D492	q
1D4C6	q
1D4FA	q
1D52E	q
1D562	q
1D596	q
1D5CA	q
1D5FE	q
1D632	q
1D666	q
1D69A	q
51B	q
563	q
566	q
211A	Q
1D410	Q
1D444	Q
1D478	Q
1D4AC	Q
1D4E0	Q
1D514	Q
1D57C	Q
1D5B0	Q
1D5E4	Q
1D618	Q
1D64C	Q
1D680	Q
2D55	Q
1D42B	r
1D45F	r
1D493	r
1D4C7	r
1D4FB	r
1D52F	r
1D563	r
1D597	r
1D5CB	r
1D5FF	r
1D633	r
1D667	r
1D69B	r
AB47	r
AB48	r
1D26	r
2C85	r
433	r
AB81	r
1D216	R
211B	R
211C	R
211D	R
1D411	R
1D445	R
1D479	R
1D4E1	R
1D57D	R
1D5B1	R
1D5E5	R
1D619	R
1D64D	R
1D681	R
1A6	R
13A1	R
13D2	R
104B4	R
1587	R
A4E3	R
16F35	R
FF53	s
1D42C	s
1D460	s
1D494	s
1D4C8	s
1D4FC	s
1D530	s
1D564	s
1D598	s
1D5CC	s
1D600	s
1D634	s
1D668	s
1D69C	s
A731	s
1BD	s
455	s
ABAA	s
118C1	s
10448	s
FF33	S
1D412	S
1D446	S
1D47A	S
1D4AE	S
1D4E2	S
1D516	S
1D54A	S
1D57E	S
1D5B2	S
1D5E6	S
1D61A	S
1D64E	S
1D682	S
405	S
54F	S
13D5	S
13DA	S
